FreeMan,#genre#
1128x 民視,rtmp://f13h.mine.nu/sat/tv051
1128x 台視,rtmp://f13h.mine.nu/sat/tv071
1128x 中視,rtmp://f13h.mine.nu/sat/tv091
中視,https://stream1.freetv.fun/7652a7e444737537cc05dfaa05a62ce98e6ca96690e372c4356f70a6d3d7ff15.m3u8
中視,https://stream1.freetv.fun/7aee77424190e76ae55cf2834b4889e9ed457991285a78c12d6e934b34c0f401.m3u8
華視,rtmp://f13h.mine.nu/sat/tv111
1128x 東森超視,rtmp://f13h.mine.nu/sat/tv521
1128x TVBS新聞,rtmp://f13h.mine.nu/sat/tv551
1128x TVBS歡樂,rtmp://f13h.mine.nu/sat/tv421
TVBS HD,https://stream1.freetv.fun/d28c1980af80d5fd433f5f9eff21e59078d29d80b3e6a5bd485786d6072fc409.ctv
TVBS HD,https://stream1.freetv.fun/f5b8cc7c6a20b0abe712813a3889eb16f1b9db41936c70a4db8f224863006328.ctv
TVBS HD,https://stream1.freetv.fun/a969d7787c96c8a7a9cf6f542343848dc7beb7475d548e093d53d2e9cde7d70b.ctv
TVBS HD,https://stream1.freetv.fun/3000307381f83fd299707add270c19d6ad8608bc06d4987ff83c5565fe896a12.ctv
1128x 東森財經新聞,rtmp://f13h.mine.nu/sat/tv571
中天娛樂,https://stream1.freetv.fun/74a8ab37d2a61da86412610557967f89f87574a0c1b1e3ecc77049be45d2433d.m3u8
非凡新聞,rtmp://f13h.mine.nu/sat/tv581
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
DAZN1,rtmp://f13h.mine.nu/sat/tv731
DAZN2,rtmp://f13h.mine.nu/sat/tv741
MOMO綜合,rtmp://f13h.mine.nu/sat/tv761
公視,rtmp://f13h.mine.nu/sat/tv771

BBC news,http://125.227.210.55:8165/VideoInput/play.ts
法國TV5,http://125.227.210.55:15533/VideoInput/play.ts
韓聯社YTN台,http://125.227.210.55:17478/VideoInput/play.ts
KOREA Arirang TV,http://125.227.210.55:48553/VideoInput/play.ts
KOREA Arirang TV,https://www.youtube.com/watch?v=CJVBX7KI5nU
NHK JAPAN台,http://125.227.210.55:35802/VideoInput/play.ts
NHK JAPAN台,https://www.youtube.com/watch?v=f0lYkdA-Gtw
鳳凰衛視中文台,http://125.227.210.55:39004/VideoInput/play.ts
德國之聲DW News,http://125.227.210.55:42534/VideoInput/play.ts

東森超視345,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
非凡新聞-要等,https://aka03p.akamaized.net/litv/fet001.smil/playlist.m3u8
人間衛視,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人間衛視2,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
生命電視台,http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080
世新綜合台,http://61.58.60.230:9319/live/49.m3u8
1128x Good TV 1,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
1128x Good TV 1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
1128x Good TV 2,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
1128x Good TV 2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
DAZN 1,https://stream1.freetv.fun/ed13176f149b4fbee1e4a778c55c4e19a7d4aebe2a73957b0a29b5d2bf37d849.m3u8
ELTA體育1台,https://stream1.freetv.fun/7da56e99c883c8c3ea4d9435ac6ae66ade9c577ea9726c0ac18a1c3f50714a2d.m3u8
ELTA體育1台,https://stream1.freetv.fun/2841576b6e00879ca323f57a2b07afc5fb1949bdfa67a4bfddefb7e900e72aeb.m3u8
ELTA體育1台,https://stream1.freetv.fun/efdcf10ff71385ad67e8f9f709efec1b134d1fd2ccf31a816b50906141fe35f3.m3u8
ELTA體育2台,https://stream1.freetv.fun/fe060d6095c7ba7b9072f4fa3a6ad0371539c28fd4b2c22fef35e21ea7770812.m3u8
ELTA體育2台,https://stream1.freetv.fun/372c3f5f7b858e6b9c700637d88b44594d69a4af38bd2a8ff830a0ce6609d4ae.m3u8
ELTA體育2台,https://stream1.freetv.fun/c914e8079b7d470d7da36ff9ac1eabd3fbd49030f628252fa39fdedc8eef1bc1.m3u8
ELTA體育4台,https://stream1.freetv.fun/5ddbe56c1966907a90af03e27dc32873c5133b6849f4917e1bc3d5107ef70043.m3u8
ELTA體育4台,https://stream1.freetv.fun/30ba43a33f129629ba84fca5afae10c8f9be94d141a6ff0f0c4238656aef75ff.m3u8
ELTA體育4台,https://stream1.freetv.fun/ee443f266ec437d0859ba226c193d592df7f009341c5cf48cdf476be43cb0bb8.m3u8
EYE TV 戲劇 358,https://stream1.freetv.fun/c6d57122f87e0e0e64456d63ca9d8ee468d52268b226d1c842c4069d2977ce53.m3u8
BBC Earth,https://stream1.freetv.fun/0745642232c7bcb48dedbb1ac8d145f083cecaf8153df9a2870fb58325c56c82.m3u8
BBC Earth2,https://stream1.freetv.fun/02205072306ac6c143d2707e909bda809deef2a1bda1923da9681ec5744f7081.m3u8
BBC Earth3,https://stream1.freetv.fun/02205072306ac6c143d2707e909bda809deef2a1bda1923da9681ec5744f7081.m3u8


