新聞,#genre#
[BD]tvbs新聞,https://stream1.freetv.fun/tvbsxin-wen-5.ctv
[BD]tvbs新聞,https://stream1.freetv.fun/tvbsxin-wen-3.ctv
[BD]tvbs新聞,https://stream1.freetv.fun/tvbsxin-wen-6.ctv
[HD]tvbs新聞,https://stream1.freetv.fun/tvbsxin-wen-8.ctv
[BD]三立新聞,https://stream1.freetv.fun/san-li-xin-wen-4.ctv
[BD]三立新聞,https://stream1.freetv.fun/san-li-xin-wen-6.ctv
[BD]三立新聞,https://stream1.freetv.fun/san-li-xin-wen-5.ctv
[BD]中天新聞,https://stream1.freetv.fun/zhong-tian-xin-wen-10.ctv
[BD]中天新聞,https://stream1.freetv.fun/zhong-tian-xin-wen-8.ctv
[BD]中天新聞,https://stream1.freetv.fun/zhong-tian-xin-wen-5.ctv
[BD]中天新聞,https://stream1.freetv.fun/zhong-tian-xin-wen-4.ctv
[HD]中天新聞,https://stream1.freetv.fun/zhong-tian-xin-wen-6.ctv
[BD]中天新聞,https://stream1.freetv.fun/zhong-tian-xin-wen-7.m3u8
[BD]民視新聞,https://stream1.freetv.fun/min-shi-xin-wen-13.ctv
[BD]民視新聞,https://stream1.freetv.fun/min-shi-xin-wen-1.ctv
[BD]民視新聞,https://stream1.freetv.fun/min-shi-xin-wen-9.ctv
[BD]民視新聞,https://stream1.freetv.fun/min-shi-xin-wen-17.m3u8
[HD]民視新聞,https://stream1.freetv.fun/min-shi-xin-wen-20.ctv
[BD]台視新聞,https://stream1.freetv.fun/tai-shi-xin-wen-15.m3u8
[BD]台視新聞,https://stream1.freetv.fun/tai-shi-xin-wen-12.m3u8
[BD]台視新聞,https://stream1.freetv.fun/tai-shi-xin-wen-4.m3u8
[BD]台視新聞,https://stream1.freetv.fun/tai-shi-xin-wen-21.m3u8
[HD]中視新聞,https://stream1.freetv.fun/zhong-shi-xin-wen-5.ctv
[HD]中視新聞,https://stream1.freetv.fun/zhong-shi-xin-wen---wj-5.m3u8
[HD]中視新聞,https://stream1.freetv.fun/zhong-shi-xin-wen---wj-1.m3u8
[HD]中視新聞,https://stream1.freetv.fun/zhong-shi-xin-wen---wj-4.m3u8
[HD]中視新聞,https://stream1.freetv.fun/zhong-shi-xin-wen---wj-2.m3u8
[BD]台視新聞,https://stream1.freetv.fun/tai-shi-xin-wen-17.m3u8
[HD]台視新聞,https://stream1.freetv.fun/tai-shi-xin-wen-18.ctv
[BD]壹新聞,https://stream1.freetv.fun/yi-xin-wen-5.ctv
[BD]壹新聞,https://stream1.freetv.fun/yi-xin-wen-1.ctv
[BD]寰宇新聞,https://stream1.freetv.fun/huan-yu-xin-wen-5.ctv
[BD]寰宇新聞,https://stream1.freetv.fun/huan-yu-xin-wen-6.ctv
[BD]寰宇新聞,https://stream1.freetv.fun/huan-yu-xin-wen-3.ctv
[HD]寰宇新聞,https://stream1.freetv.fun/huan-yu-xin-wen-2.ctv
[VGA]寰宇財經,https://stream1.freetv.fun/huan-yu-cai-jing-3.ctv
[BD]年代新聞,https://stream1.freetv.fun/nian-dai-xin-wen-5.ctv
[BD]年代新聞,https://stream1.freetv.fun/nian-dai-xin-wen-2.ctv
[BD]年代新聞,https://stream1.freetv.fun/nian-dai-xin-wen-6.ctv
[BD]年代新聞,https://stream1.freetv.fun/nian-dai-xin-wen-4.ctv
[HD]東森新聞,https://stream1.freetv.fun/dong-sen-xin-wen-2.ctv
[BD]東森新聞,https://stream1.freetv.fun/dong-sen-xin-wen-8.ctv
[BD]東森新聞,https://stream1.freetv.fun/dong-sen-xin-wen-4.ctv
[BD]東森新聞,https://stream1.freetv.fun/dong-sen-xin-wen-6.ctv
[BD]東森美洲新聞台,https://stream1.freetv.fun/dong-sen-mei-zhou-xin-wen-1.m3u8
[BD]東森財經,https://stream1.freetv.fun/dong-sen-cai-jing-2.ctv
[BD]東森財經,https://stream1.freetv.fun/dong-sen-cai-jing-3.ctv
[BD]東森財經,https://stream1.freetv.fun/dong-sen-cai-jing-1.ctv
[BD]東森財經,https://stream1.freetv.fun/dong-sen-cai-jing-5.ctv
[HD]東森財經,https://stream1.freetv.fun/dong-sen-cai-jing---wj-2.m3u8
[HD]東森財經,https://stream1.freetv.fun/dong-sen-cai-jing---wj-1.m3u8
